Linha,X42
Tabela,006-2
num,ponto,horario
104703,TERMINAL CAPAO DA IMBUIA,16:12
104406,TERMINAL CABRAL,16:52
104703,TERMINAL CAPAO DA IMBUIA,17:35
104406,TERMINAL CABRAL,18:16
104703,TERMINAL CAPAO DA IMBUIA,19:04
104406,TERMINAL CABRAL,19:41
104703,TERMINAL CAPAO DA IMBUIA,20:13
104406,TERMINAL CABRAL,20:48
104703,TERMINAL CAPAO DA IMBUIA,21:18
104406,TERMINAL CABRAL,21:53
104703,TERMINAL CAPAO DA IMBUIA,22:23
104406,TERMINAL CABRAL,22:58
104703,TERMINAL CAPAO DA IMBUIA,23:28
104406,TERMINAL CABRAL,23:58
