Linha,X42
Tabela,003
num,ponto,horario
104406,TERMINAL CABRAL,05:20
104703,TERMINAL CAPAO DA IMBUIA,05:45
104406,TERMINAL CABRAL,06:11
104703,TERMINAL CAPAO DA IMBUIA,06:41
104406,TERMINAL CABRAL,07:11
104703,TERMINAL CAPAO DA IMBUIA,07:46
104406,TERMINAL CABRAL,08:16
104703,TERMINAL CAPAO DA IMBUIA,08:47
104406,TERMINAL CABRAL,09:17
104703,TERMINAL CAPAO DA IMBUIA,09:47
104406,TERMINAL CABRAL,10:17
104703,TERMINAL CAPAO DA IMBUIA,10:47
104406,TERMINAL CABRAL,11:17
104703,TERMINAL CAPAO DA IMBUIA,11:47
104406,TERMINAL CABRAL,12:17
104703,TERMINAL CAPAO DA IMBUIA,12:47
104406,TERMINAL CABRAL,13:17
104703,TERMINAL CAPAO DA IMBUIA,13:47
104406,TERMINAL CABRAL,14:17
104703,TERMINAL CAPAO DA IMBUIA,14:47
104406,TERMINAL CABRAL,15:17
104703,TERMINAL CAPAO DA IMBUIA,16:00
104406,TERMINAL CABRAL,16:33
104703,TERMINAL CAPAO DA IMBUIA,17:18
104406,TERMINAL CABRAL,17:53
104703,TERMINAL CAPAO DA IMBUIA,18:41
104406,TERMINAL CABRAL,19:12
104703,TERMINAL CAPAO DA IMBUIA,19:47
104406,TERMINAL CABRAL,20:11
104703,TERMINAL CAPAO DA IMBUIA,20:36
104406,TERMINAL CABRAL,21:01
104703,TERMINAL CAPAO DA IMBUIA,21:26
104406,TERMINAL CABRAL,21:51
104703,TERMINAL CAPAO DA IMBUIA,22:16
104406,TERMINAL CABRAL,22:41
104703,TERMINAL CAPAO DA IMBUIA,23:06
104406,TERMINAL CABRAL,23:31
104703,TERMINAL CAPAO DA IMBUIA,23:56
104406,TERMINAL CABRAL,00:21
