Linha,275
Tabela,003-2
num,ponto,horario
101163,TRAVESSA MOREIRA GARCEZ,17:06
120170,BAIRRO F.NORONHA/LARANJEIRAS,17:43
101163,TRAVESSA MOREIRA GARCEZ,18:23
120170,BAIRRO F.NORONHA/LARANJEIRAS,19:10
101163,TRAVESSA MOREIRA GARCEZ,19:55
120170,BAIRRO F.NORONHA/LARANJEIRAS,20:25
101163,TRAVESSA MOREIRA GARCEZ,21:05
120170,BAIRRO F.NORONHA/LARANJEIRAS,21:35
101163,TRAVESSA MOREIRA GARCEZ,22:15
120170,BAIRRO F.NORONHA/LARANJEIRAS,22:45
101163,TRAVESSA MOREIRA GARCEZ,23:25
120170,BAIRRO F.NORONHA/LARANJEIRAS,23:53
