Linha,021
Tabela,009-1
num,ponto,horario
104405,TERMINAL CABRAL,05:40
104506,TERMINAL CAMPINA DO SIQUEIRA,06:18
104819,TERMINAL CAPAO RASO,06:43
105511,TERMINAL HAUER,07:06
104703,TERMINAL CAPAO DA IMBUIA,07:28
104405,TERMINAL CABRAL,07:52
104506,TERMINAL CAMPINA DO SIQUEIRA,08:34
104819,TERMINAL CAPAO RASO,09:01
105511,TERMINAL HAUER,09:24
104703,TERMINAL CAPAO DA IMBUIA,09:46
104405,TERMINAL CABRAL,10:12
104506,TERMINAL CAMPINA DO SIQUEIRA,10:54
104819,TERMINAL CAPAO RASO,11:24
105511,TERMINAL HAUER,11:48
104703,TERMINAL CAPAO DA IMBUIA,12:10
