Linha,021
Tabela,007-1
num,ponto,horario
104506,TERMINAL CAMPINA DO SIQUEIRA,06:00
104819,TERMINAL CAPAO RASO,06:24
105511,TERMINAL HAUER,06:47
104703,TERMINAL CAPAO DA IMBUIA,07:10
104405,TERMINAL CABRAL,07:35
104506,TERMINAL CAMPINA DO SIQUEIRA,08:16
104819,TERMINAL CAPAO RASO,08:44
105511,TERMINAL HAUER,09:07
104703,TERMINAL CAPAO DA IMBUIA,09:29
104405,TERMINAL CABRAL,09:54
104506,TERMINAL CAMPINA DO SIQUEIRA,10:36
104819,TERMINAL CAPAO RASO,11:06
105511,TERMINAL HAUER,11:30
104703,TERMINAL CAPAO DA IMBUIA,11:52
104405,TERMINAL CABRAL,12:18
