Linha,021
Tabela,010-1
num,ponto,horario
104819,TERMINAL CAPAO RASO,05:40
105511,TERMINAL HAUER,06:02
104703,TERMINAL CAPAO DA IMBUIA,06:24
104405,TERMINAL CABRAL,06:48
104506,TERMINAL CAMPINA DO SIQUEIRA,07:29
104819,TERMINAL CAPAO RASO,07:57
105511,TERMINAL HAUER,08:20
104703,TERMINAL CAPAO DA IMBUIA,08:42
104405,TERMINAL CABRAL,09:06
104506,TERMINAL CAMPINA DO SIQUEIRA,09:48
104819,TERMINAL CAPAO RASO,10:17
105511,TERMINAL HAUER,10:41
104703,TERMINAL CAPAO DA IMBUIA,11:03
104405,TERMINAL CABRAL,11:29
104506,TERMINAL CAMPINA DO SIQUEIRA,12:11
