Linha,531
Tabela,004-2
num,ponto,horario
104318,TERMINAL BOQUEIRAO,16:46
160130,BAIRRO SANTA INES,17:08
104318,TERMINAL BOQUEIRAO,17:32
160130,BAIRRO SANTA INES,17:56
104318,TERMINAL BOQUEIRAO,18:20
160130,BAIRRO SANTA INES,18:44
104318,TERMINAL BOQUEIRAO,19:08
160130,BAIRRO SANTA INES,19:30
104318,TERMINAL BOQUEIRAO,19:50
160130,BAIRRO SANTA INES,20:12
104318,TERMINAL BOQUEIRAO,20:34
160130,BAIRRO SANTA INES,20:56
104318,TERMINAL BOQUEIRAO,21:18
160130,BAIRRO SANTA INES,21:40
104318,TERMINAL BOQUEIRAO,22:02
160130,BAIRRO SANTA INES,22:24
104318,TERMINAL BOQUEIRAO,22:46
160130,BAIRRO SANTA INES,23:06
104318,TERMINAL BOQUEIRAO,23:28
