Linha,972
Tabela,001
num,ponto,horario
106015,TERMINAL SANTA FELICIDADE,05:30
101122,TRAVESSA NESTOR DE CASTRO,06:00
106015,TERMINAL SANTA FELICIDADE,06:28
101122,TRAVESSA NESTOR DE CASTRO,07:08
106015,TERMINAL SANTA FELICIDADE,07:40
101122,TRAVESSA NESTOR DE CASTRO,08:20
106015,TERMINAL SANTA FELICIDADE,08:54
101122,TRAVESSA NESTOR DE CASTRO,09:28
106015,TERMINAL SANTA FELICIDADE,10:00
101122,TRAVESSA NESTOR DE CASTRO,10:33
106015,TERMINAL SANTA FELICIDADE,11:05
101122,TRAVESSA NESTOR DE CASTRO,11:38
106015,TERMINAL SANTA FELICIDADE,12:10
101122,TRAVESSA NESTOR DE CASTRO,12:46
106015,TERMINAL SANTA FELICIDADE,13:20
101122,TRAVESSA NESTOR DE CASTRO,13:56
106015,TERMINAL SANTA FELICIDADE,14:30
101122,TRAVESSA NESTOR DE CASTRO,15:06
106015,TERMINAL SANTA FELICIDADE,15:40
101122,TRAVESSA NESTOR DE CASTRO,16:16
106015,TERMINAL SANTA FELICIDADE,16:50
101122,TRAVESSA NESTOR DE CASTRO,17:32
106015,TERMINAL SANTA FELICIDADE,18:12
101122,TRAVESSA NESTOR DE CASTRO,18:50
106015,TERMINAL SANTA FELICIDADE,19:32
101122,TRAVESSA NESTOR DE CASTRO,20:07
106015,TERMINAL SANTA FELICIDADE,20:39
101122,TRAVESSA NESTOR DE CASTRO,21:14
106015,TERMINAL SANTA FELICIDADE,21:42
101122,TRAVESSA NESTOR DE CASTRO,22:24
106015,TERMINAL SANTA FELICIDADE,22:52
101122,TRAVESSA NESTOR DE CASTRO,23:22
106015,TERMINAL SANTA FELICIDADE,23:47
101122,TRAVESSA NESTOR DE CASTRO,00:17
