Linha,303
Tabela,008-1
num,ponto,horario
104601,TERMINAL CAMPO COMPRIDO,05:40
108169,ESTACAO TUBO R. BARBOSA/LESTE,06:08
105101,TERMINAL CENTENARIO,06:40
108030,ESTACAO TUBO R.BARBOSA/OESTE,07:13
104601,TERMINAL CAMPO COMPRIDO,07:45
108169,ESTACAO TUBO R. BARBOSA/LESTE,08:13
105101,TERMINAL CENTENARIO,08:44
108030,ESTACAO TUBO R.BARBOSA/OESTE,09:18
104601,TERMINAL CAMPO COMPRIDO,09:47
108169,ESTACAO TUBO R. BARBOSA/LESTE,10:16
105101,TERMINAL CENTENARIO,10:50
108030,ESTACAO TUBO R.BARBOSA/OESTE,11:24
104601,TERMINAL CAMPO COMPRIDO,11:53
108169,ESTACAO TUBO R. BARBOSA/LESTE,12:21
105101,TERMINAL CENTENARIO,12:55
108030,ESTACAO TUBO R.BARBOSA/OESTE,13:27
