Linha,307
Tabela,007-2
num,ponto,horario
109055,TUBO NESTOR DE CASTRO,16:38
109121,TERMINAL SANTA FELICIDADE,17:01
109053,TUBO TIRADENTES,17:26
109120,TERMINAL BAIRRO ALTO,18:02
109055,TUBO NESTOR DE CASTRO,18:37
109121,TERMINAL SANTA FELICIDADE,19:02
109053,TUBO TIRADENTES,19:26
109120,TERMINAL BAIRRO ALTO,19:55
109055,TUBO NESTOR DE CASTRO,20:25
109121,TERMINAL SANTA FELICIDADE,20:45
109053,TUBO TIRADENTES,21:07
109120,TERMINAL BAIRRO ALTO,21:37
109055,TUBO NESTOR DE CASTRO,22:03
109121,TERMINAL SANTA FELICIDADE,22:22
109053,TUBO TIRADENTES,22:44
109120,TERMINAL BAIRRO ALTO,23:14
109055,TUBO NESTOR DE CASTRO,23:38
109121,TERMINAL SANTA FELICIDADE,23:57
109053,TUBO TIRADENTES,00:15
