Linha,250
Tabela,017
num,ponto,horario
105933,TERMINAL PINHEIRINHO,06:06
108023,ESTACAO TUBO CENTRAL/NORTE,06:34
105934,TERMINAL SANTA CANDIDA,06:56
108024,ESTACAO TUBO CENTRAL/SUL,07:14
105933,TERMINAL PINHEIRINHO,07:48
108023,ESTACAO TUBO CENTRAL/NORTE,08:16
105934,TERMINAL SANTA CANDIDA,08:40
108024,ESTACAO TUBO CENTRAL/SUL,08:58
105933,TERMINAL PINHEIRINHO,09:31
108023,ESTACAO TUBO CENTRAL/NORTE,09:58
105934,TERMINAL SANTA CANDIDA,10:20
108024,ESTACAO TUBO CENTRAL/SUL,10:38
105933,TERMINAL PINHEIRINHO,11:12
108023,ESTACAO TUBO CENTRAL/NORTE,11:38
105934,TERMINAL SANTA CANDIDA,12:00
108024,ESTACAO TUBO CENTRAL/SUL,12:18
105933,TERMINAL PINHEIRINHO,12:52
108023,ESTACAO TUBO CENTRAL/NORTE,13:18
105934,TERMINAL SANTA CANDIDA,13:40
108024,ESTACAO TUBO CENTRAL/SUL,13:58
105933,TERMINAL PINHEIRINHO,14:32
108023,ESTACAO TUBO CENTRAL/NORTE,14:58
105934,TERMINAL SANTA CANDIDA,15:20
108024,ESTACAO TUBO CENTRAL/SUL,15:38
105933,TERMINAL PINHEIRINHO,16:11
108023,ESTACAO TUBO CENTRAL/NORTE,16:38
105934,TERMINAL SANTA CANDIDA,17:00
108024,ESTACAO TUBO CENTRAL/SUL,17:18
105933,TERMINAL PINHEIRINHO,17:53
108023,ESTACAO TUBO CENTRAL/NORTE,18:21
