Linha,250
Tabela,013-2
num,ponto,horario
105933,TERMINAL PINHEIRINHO,16:18
108023,ESTACAO TUBO CENTRAL/NORTE,16:46
105934,TERMINAL SANTA CANDIDA,17:11
108024,ESTACAO TUBO CENTRAL/SUL,17:31
105933,TERMINAL PINHEIRINHO,18:10
108023,ESTACAO TUBO CENTRAL/NORTE,18:39
105934,TERMINAL SANTA CANDIDA,19:03
108024,ESTACAO TUBO CENTRAL/SUL,19:22
105933,TERMINAL PINHEIRINHO,20:00
108023,ESTACAO TUBO CENTRAL/NORTE,20:28
105934,TERMINAL SANTA CANDIDA,20:50
108024,ESTACAO TUBO CENTRAL/SUL,21:08
105933,TERMINAL PINHEIRINHO,21:45
108023,ESTACAO TUBO CENTRAL/NORTE,22:13
105934,TERMINAL SANTA CANDIDA,22:35
108024,ESTACAO TUBO CENTRAL/SUL,22:53
