Linha,911
Tabela,002-2
num,ponto,horario
106009,TERMINAL SANTA FELICIDADE,16:45
660104,BAIRRO PASSAUNA,17:07
106009,TERMINAL SANTA FELICIDADE,17:29
660104,BAIRRO PASSAUNA,17:52
106009,TERMINAL SANTA FELICIDADE,18:14
660104,BAIRRO PASSAUNA,18:37
106009,TERMINAL SANTA FELICIDADE,18:59
660104,BAIRRO PASSAUNA,19:23
106009,TERMINAL SANTA FELICIDADE,19:43
660104,BAIRRO PASSAUNA,20:05
106009,TERMINAL SANTA FELICIDADE,20:25
660104,BAIRRO PASSAUNA,20:45
106009,TERMINAL SANTA FELICIDADE,21:05
660104,BAIRRO PASSAUNA,21:25
106009,TERMINAL SANTA FELICIDADE,21:43
660104,BAIRRO PASSAUNA,22:03
106009,TERMINAL SANTA FELICIDADE,22:21
660104,BAIRRO PASSAUNA,22:41
106009,TERMINAL SANTA FELICIDADE,22:59
660104,BAIRRO PASSAUNA,23:19
106009,TERMINAL SANTA FELICIDADE,23:43
660104,BAIRRO PASSAUNA,23:59
106009,TERMINAL SANTA FELICIDADE,00:15
