Linha,203
Tabela,014
num,ponto,horario
105901,TERMINAL SANTA CANDIDA,06:18
104413,TERMINAL CABRAL/SENTIDO SUL,06:31
108024,ESTACAO TUBO CENTRAL/SUL,06:44
108036,ESTACAO TUBO BENTO VIANA/SUL,06:56
104801,TERMINAL CAPAO RASO,07:18
108035,ESTACAO TUBO BENTO VIANA/NORTE,07:36
108023,ESTACAO TUBO CENTRAL/NORTE,07:49
104411,TERMINAL CABRAL/SENTIDO NORTE,08:00
105901,TERMINAL SANTA CANDIDA,08:17
104413,TERMINAL CABRAL/SENTIDO SUL,08:30
108024,ESTACAO TUBO CENTRAL/SUL,08:43
108036,ESTACAO TUBO BENTO VIANA/SUL,08:55
104801,TERMINAL CAPAO RASO,09:17
108035,ESTACAO TUBO BENTO VIANA/NORTE,09:35
108023,ESTACAO TUBO CENTRAL/NORTE,09:48
104411,TERMINAL CABRAL/SENTIDO NORTE,09:59
105901,TERMINAL SANTA CANDIDA,10:16
104413,TERMINAL CABRAL/SENTIDO SUL,10:29
108024,ESTACAO TUBO CENTRAL/SUL,10:42
108036,ESTACAO TUBO BENTO VIANA/SUL,10:54
104801,TERMINAL CAPAO RASO,11:16
108035,ESTACAO TUBO BENTO VIANA/NORTE,11:35
108023,ESTACAO TUBO CENTRAL/NORTE,11:48
104411,TERMINAL CABRAL/SENTIDO NORTE,11:59
105901,TERMINAL SANTA CANDIDA,12:16
104413,TERMINAL CABRAL/SENTIDO SUL,12:29
108024,ESTACAO TUBO CENTRAL/SUL,12:42
108036,ESTACAO TUBO BENTO VIANA/SUL,12:54
104801,TERMINAL CAPAO RASO,13:16
108035,ESTACAO TUBO BENTO VIANA/NORTE,13:35
108023,ESTACAO TUBO CENTRAL/NORTE,13:48
104411,TERMINAL CABRAL/SENTIDO NORTE,13:58
105901,TERMINAL SANTA CANDIDA,14:14
104413,TERMINAL CABRAL/SENTIDO SUL,14:26
108024,ESTACAO TUBO CENTRAL/SUL,14:38
108036,ESTACAO TUBO BENTO VIANA/SUL,14:50
104801,TERMINAL CAPAO RASO,15:12
108035,ESTACAO TUBO BENTO VIANA/NORTE,15:30
108023,ESTACAO TUBO CENTRAL/NORTE,15:44
104411,TERMINAL CABRAL/SENTIDO NORTE,15:54
105901,TERMINAL SANTA CANDIDA,16:11
104413,TERMINAL CABRAL/SENTIDO SUL,16:23
108024,ESTACAO TUBO CENTRAL/SUL,16:35
108036,ESTACAO TUBO BENTO VIANA/SUL,16:47
104801,TERMINAL CAPAO RASO,17:09
108035,ESTACAO TUBO BENTO VIANA/NORTE,17:27
108023,ESTACAO TUBO CENTRAL/NORTE,17:41
104411,TERMINAL CABRAL/SENTIDO NORTE,17:51
105901,TERMINAL SANTA CANDIDA,18:08
104413,TERMINAL CABRAL/SENTIDO SUL,18:20
108024,ESTACAO TUBO CENTRAL/SUL,18:33
108036,ESTACAO TUBO BENTO VIANA/SUL,18:46
104801,TERMINAL CAPAO RASO,19:08
108035,ESTACAO TUBO BENTO VIANA/NORTE,19:26
108023,ESTACAO TUBO CENTRAL/NORTE,19:40
104411,TERMINAL CABRAL/SENTIDO NORTE,19:50
