Linha,203
Tabela,017
num,ponto,horario
104801,TERMINAL CAPAO RASO,06:36
108035,ESTACAO TUBO BENTO VIANA/NORTE,06:54
108023,ESTACAO TUBO CENTRAL/NORTE,07:07
104411,TERMINAL CABRAL/SENTIDO NORTE,07:18
105901,TERMINAL SANTA CANDIDA,07:35
104413,TERMINAL CABRAL/SENTIDO SUL,07:48
108024,ESTACAO TUBO CENTRAL/SUL,08:01
108036,ESTACAO TUBO BENTO VIANA/SUL,08:13
104801,TERMINAL CAPAO RASO,08:35
108035,ESTACAO TUBO BENTO VIANA/NORTE,08:54
108023,ESTACAO TUBO CENTRAL/NORTE,09:07
104411,TERMINAL CABRAL/SENTIDO NORTE,09:18
105901,TERMINAL SANTA CANDIDA,09:36
104413,TERMINAL CABRAL/SENTIDO SUL,09:49
108024,ESTACAO TUBO CENTRAL/SUL,10:02
108036,ESTACAO TUBO BENTO VIANA/SUL,10:14
104801,TERMINAL CAPAO RASO,10:36
108035,ESTACAO TUBO BENTO VIANA/NORTE,10:55
108023,ESTACAO TUBO CENTRAL/NORTE,11:08
104411,TERMINAL CABRAL/SENTIDO NORTE,11:19
105901,TERMINAL SANTA CANDIDA,11:36
104413,TERMINAL CABRAL/SENTIDO SUL,11:49
108024,ESTACAO TUBO CENTRAL/SUL,12:02
108036,ESTACAO TUBO BENTO VIANA/SUL,12:14
104801,TERMINAL CAPAO RASO,12:36
108035,ESTACAO TUBO BENTO VIANA/NORTE,12:55
108023,ESTACAO TUBO CENTRAL/NORTE,13:08
104411,TERMINAL CABRAL/SENTIDO NORTE,13:19
105901,TERMINAL SANTA CANDIDA,13:37
104413,TERMINAL CABRAL/SENTIDO SUL,13:49
108024,ESTACAO TUBO CENTRAL/SUL,14:02
108036,ESTACAO TUBO BENTO VIANA/SUL,14:14
104801,TERMINAL CAPAO RASO,14:36
108035,ESTACAO TUBO BENTO VIANA/NORTE,14:54
108023,ESTACAO TUBO CENTRAL/NORTE,15:08
104411,TERMINAL CABRAL/SENTIDO NORTE,15:18
105901,TERMINAL SANTA CANDIDA,15:35
104413,TERMINAL CABRAL/SENTIDO SUL,15:47
108024,ESTACAO TUBO CENTRAL/SUL,15:59
108036,ESTACAO TUBO BENTO VIANA/SUL,16:11
104801,TERMINAL CAPAO RASO,16:33
108035,ESTACAO TUBO BENTO VIANA/NORTE,16:51
108023,ESTACAO TUBO CENTRAL/NORTE,17:05
104411,TERMINAL CABRAL/SENTIDO NORTE,17:15
105901,TERMINAL SANTA CANDIDA,17:32
104413,TERMINAL CABRAL/SENTIDO SUL,17:44
108024,ESTACAO TUBO CENTRAL/SUL,17:56
108036,ESTACAO TUBO BENTO VIANA/SUL,18:08
104801,TERMINAL CAPAO RASO,18:30
108035,ESTACAO TUBO BENTO VIANA/NORTE,18:49
108023,ESTACAO TUBO CENTRAL/NORTE,19:03
104411,TERMINAL CABRAL/SENTIDO NORTE,19:14
105901,TERMINAL SANTA CANDIDA,19:35
104413,TERMINAL CABRAL/SENTIDO SUL,19:47
108024,ESTACAO TUBO CENTRAL/SUL,19:59
108036,ESTACAO TUBO BENTO VIANA/SUL,20:11
104801,TERMINAL CAPAO RASO,20:33
108035,ESTACAO TUBO BENTO VIANA/NORTE,20:51
108023,ESTACAO TUBO CENTRAL/NORTE,21:05
104411,TERMINAL CABRAL/SENTIDO NORTE,21:15
105901,TERMINAL SANTA CANDIDA,21:32
104413,TERMINAL CABRAL/SENTIDO SUL,21:44
108024,ESTACAO TUBO CENTRAL/SUL,21:56
108036,ESTACAO TUBO BENTO VIANA/SUL,22:08
104801,TERMINAL CAPAO RASO,22:30
108035,ESTACAO TUBO BENTO VIANA/NORTE,22:47
108023,ESTACAO TUBO CENTRAL/NORTE,23:00
104411,TERMINAL CABRAL/SENTIDO NORTE,23:11
105901,TERMINAL SANTA CANDIDA,23:28
104413,TERMINAL CABRAL/SENTIDO SUL,23:40
108024,ESTACAO TUBO CENTRAL/SUL,23:52
108036,ESTACAO TUBO BENTO VIANA/SUL,00:04
