Linha,207
Tabela,002-2
num,ponto,horario
103303,PRACA GENERAL OSORIO,16:43
104412,TERMINAL CABRAL,17:19
103303,PRACA GENERAL OSORIO,17:52
104412,TERMINAL CABRAL,18:30
103303,PRACA GENERAL OSORIO,19:04
104412,TERMINAL CABRAL,19:39
103303,PRACA GENERAL OSORIO,20:07
104412,TERMINAL CABRAL,20:36
103303,PRACA GENERAL OSORIO,20:59
104412,TERMINAL CABRAL,21:28
103303,PRACA GENERAL OSORIO,21:51
104412,TERMINAL CABRAL,22:20
103303,PRACA GENERAL OSORIO,22:43
104412,TERMINAL CABRAL,23:12
103303,PRACA GENERAL OSORIO,23:35
