Linha,207
Tabela,006-2
num,ponto,horario
103303,PRACA GENERAL OSORIO,16:23
104412,TERMINAL CABRAL,16:58
103303,PRACA GENERAL OSORIO,17:27
104412,TERMINAL CABRAL,18:03
103303,PRACA GENERAL OSORIO,18:35
104412,TERMINAL CABRAL,19:12
103303,PRACA GENERAL OSORIO,19:41
104412,TERMINAL CABRAL,20:10
103303,PRACA GENERAL OSORIO,20:33
104412,TERMINAL CABRAL,21:02
103303,PRACA GENERAL OSORIO,21:25
104412,TERMINAL CABRAL,21:54
103303,PRACA GENERAL OSORIO,22:17
104412,TERMINAL CABRAL,22:46
103303,PRACA GENERAL OSORIO,23:09
104412,TERMINAL CABRAL,23:38
103303,PRACA GENERAL OSORIO,00:00
