Linha,023
Tabela,009-2
num,ponto,horario
109093,TERMINAL CAPAO RASO,16:56
109109,TERMINAL HAUER,17:13
109117,TERMINAL CAPAO DA IMBUIA,17:33
109083,TERMINAL CABRAL,17:56
109167,TERMINAL CAMPINA DO SIQUEIRA,18:24
109089,TERMINAL PORTAO,18:42
109093,TERMINAL CAPAO RASO,18:48
109109,TERMINAL HAUER,19:05
109117,TERMINAL CAPAO DA IMBUIA,19:25
109083,TERMINAL CABRAL,19:48
109167,TERMINAL CAMPINA DO SIQUEIRA,20:16
109089,TERMINAL PORTAO,20:34
109093,TERMINAL CAPAO RASO,20:40
109109,TERMINAL HAUER,20:57
109117,TERMINAL CAPAO DA IMBUIA,21:17
109083,TERMINAL CABRAL,21:40
109167,TERMINAL CAMPINA DO SIQUEIRA,22:08
109089,TERMINAL PORTAO,22:26
