Linha,023
Tabela,006
num,ponto,horario
109167,TERMINAL CAMPINA DO SIQUEIRA,05:58
109089,TERMINAL PORTAO,06:14
109093,TERMINAL CAPAO RASO,06:20
109109,TERMINAL HAUER,06:36
109117,TERMINAL CAPAO DA IMBUIA,06:53
109083,TERMINAL CABRAL,07:15
109167,TERMINAL CAMPINA DO SIQUEIRA,07:41
109089,TERMINAL PORTAO,07:56
109093,TERMINAL CAPAO RASO,08:03
109109,TERMINAL HAUER,08:20
109117,TERMINAL CAPAO DA IMBUIA,08:38
109083,TERMINAL CABRAL,09:00
109167,TERMINAL CAMPINA DO SIQUEIRA,09:27
109089,TERMINAL PORTAO,09:44
109093,TERMINAL CAPAO RASO,09:50
109109,TERMINAL HAUER,10:07
109117,TERMINAL CAPAO DA IMBUIA,10:27
109083,TERMINAL CABRAL,10:50
109167,TERMINAL CAMPINA DO SIQUEIRA,11:18
109089,TERMINAL PORTAO,11:36
109093,TERMINAL CAPAO RASO,11:42
109109,TERMINAL HAUER,11:59
109117,TERMINAL CAPAO DA IMBUIA,12:19
109083,TERMINAL CABRAL,12:42
109167,TERMINAL CAMPINA DO SIQUEIRA,13:10
109089,TERMINAL PORTAO,13:28
109093,TERMINAL CAPAO RASO,13:34
109109,TERMINAL HAUER,13:51
109117,TERMINAL CAPAO DA IMBUIA,14:11
109083,TERMINAL CABRAL,14:34
109167,TERMINAL CAMPINA DO SIQUEIRA,15:02
109089,TERMINAL PORTAO,15:20
109093,TERMINAL CAPAO RASO,15:26
109109,TERMINAL HAUER,15:43
109117,TERMINAL CAPAO DA IMBUIA,16:03
109083,TERMINAL CABRAL,16:26
109167,TERMINAL CAMPINA DO SIQUEIRA,16:54
109089,TERMINAL PORTAO,17:12
109093,TERMINAL CAPAO RASO,17:18
109109,TERMINAL HAUER,17:35
109117,TERMINAL CAPAO DA IMBUIA,17:55
109083,TERMINAL CABRAL,18:18
109167,TERMINAL CAMPINA DO SIQUEIRA,18:46
109089,TERMINAL PORTAO,19:04
109093,TERMINAL CAPAO RASO,19:10
109109,TERMINAL HAUER,19:27
109117,TERMINAL CAPAO DA IMBUIA,19:48
109083,TERMINAL CABRAL,20:13
109167,TERMINAL CAMPINA DO SIQUEIRA,20:39
109089,TERMINAL PORTAO,20:54
109093,TERMINAL CAPAO RASO,20:59
109109,TERMINAL HAUER,21:16
109117,TERMINAL CAPAO DA IMBUIA,21:34
109083,TERMINAL CABRAL,21:56
109167,TERMINAL CAMPINA DO SIQUEIRA,22:21
109089,TERMINAL PORTAO,22:36
109093,TERMINAL CAPAO RASO,22:41
109109,TERMINAL HAUER,22:58
109117,TERMINAL CAPAO DA IMBUIA,23:15
109083,TERMINAL CABRAL,23:35
109167,TERMINAL CAMPINA DO SIQUEIRA,23:56
