Linha,023
Tabela,008-1
num,ponto,horario
109109,TERMINAL HAUER,06:28
109117,TERMINAL CAPAO DA IMBUIA,06:48
109083,TERMINAL CABRAL,07:11
109167,TERMINAL CAMPINA DO SIQUEIRA,07:39
109089,TERMINAL PORTAO,07:57
109093,TERMINAL CAPAO RASO,08:05
109109,TERMINAL HAUER,08:22
109117,TERMINAL CAPAO DA IMBUIA,08:40
109083,TERMINAL CABRAL,09:03
109167,TERMINAL CAMPINA DO SIQUEIRA,09:31
109089,TERMINAL PORTAO,09:49
109093,TERMINAL CAPAO RASO,09:55
109109,TERMINAL HAUER,10:12
109117,TERMINAL CAPAO DA IMBUIA,10:32
109083,TERMINAL CABRAL,10:55
109167,TERMINAL CAMPINA DO SIQUEIRA,11:23
109089,TERMINAL PORTAO,11:41
109093,TERMINAL CAPAO RASO,11:47
