Linha,502
Tabela,004
num,ponto,horario
104301,TERMINAL BOQUEIRAO,05:57
106101,TERMINAL SITIO CERCADO,06:13
105702,TERMINAL PINHEIRINHO,06:27
105801,TERMINAL PORTAO,06:41
105502,TERMINAL HAUER,07:01
104301,TERMINAL BOQUEIRAO,07:13
106101,TERMINAL SITIO CERCADO,07:29
105702,TERMINAL PINHEIRINHO,07:43
105801,TERMINAL PORTAO,07:57
105502,TERMINAL HAUER,08:17
104301,TERMINAL BOQUEIRAO,08:29
106101,TERMINAL SITIO CERCADO,08:45
105702,TERMINAL PINHEIRINHO,08:59
105801,TERMINAL PORTAO,09:13
105502,TERMINAL HAUER,09:33
104301,TERMINAL BOQUEIRAO,09:45
106101,TERMINAL SITIO CERCADO,10:01
105702,TERMINAL PINHEIRINHO,10:15
105801,TERMINAL PORTAO,10:29
105502,TERMINAL HAUER,10:49
104301,TERMINAL BOQUEIRAO,11:01
106101,TERMINAL SITIO CERCADO,11:17
105702,TERMINAL PINHEIRINHO,11:31
105801,TERMINAL PORTAO,11:45
105502,TERMINAL HAUER,12:05
104301,TERMINAL BOQUEIRAO,12:17
106101,TERMINAL SITIO CERCADO,12:33
105702,TERMINAL PINHEIRINHO,12:47
105801,TERMINAL PORTAO,13:01
105502,TERMINAL HAUER,13:21
104301,TERMINAL BOQUEIRAO,13:33
106101,TERMINAL SITIO CERCADO,13:49
105702,TERMINAL PINHEIRINHO,14:03
105801,TERMINAL PORTAO,14:17
105502,TERMINAL HAUER,14:37
104301,TERMINAL BOQUEIRAO,14:49
106101,TERMINAL SITIO CERCADO,15:05
105702,TERMINAL PINHEIRINHO,15:19
105801,TERMINAL PORTAO,15:33
105502,TERMINAL HAUER,15:53
104301,TERMINAL BOQUEIRAO,16:05
106101,TERMINAL SITIO CERCADO,16:21
105702,TERMINAL PINHEIRINHO,16:35
105801,TERMINAL PORTAO,16:49
105502,TERMINAL HAUER,17:09
104301,TERMINAL BOQUEIRAO,17:21
106101,TERMINAL SITIO CERCADO,17:37
105702,TERMINAL PINHEIRINHO,17:51
105801,TERMINAL PORTAO,18:05
105502,TERMINAL HAUER,18:25
104301,TERMINAL BOQUEIRAO,18:37
106101,TERMINAL SITIO CERCADO,18:53
105702,TERMINAL PINHEIRINHO,19:07
105801,TERMINAL PORTAO,19:21
105502,TERMINAL HAUER,19:41
104301,TERMINAL BOQUEIRAO,19:53
106101,TERMINAL SITIO CERCADO,20:09
105702,TERMINAL PINHEIRINHO,20:23
105801,TERMINAL PORTAO,20:37
105502,TERMINAL HAUER,20:57
104301,TERMINAL BOQUEIRAO,21:09
106101,TERMINAL SITIO CERCADO,21:25
105702,TERMINAL PINHEIRINHO,21:39
105801,TERMINAL PORTAO,21:53
105502,TERMINAL HAUER,22:13
104301,TERMINAL BOQUEIRAO,22:25
106101,TERMINAL SITIO CERCADO,22:41
105702,TERMINAL PINHEIRINHO,22:55
105801,TERMINAL PORTAO,23:06
105502,TERMINAL HAUER,23:24
104301,TERMINAL BOQUEIRAO,23:37
106101,TERMINAL SITIO CERCADO,23:51
