Linha,214
Tabela,001-2
num,ponto,horario
104410,TERMINAL CABRAL,16:20
105910,TERMINAL SANTA CANDIDA,16:45
104410,TERMINAL CABRAL,17:10
105910,TERMINAL SANTA CANDIDA,17:45
104410,TERMINAL CABRAL,18:10
105910,TERMINAL SANTA CANDIDA,18:45
104410,TERMINAL CABRAL,19:10
105910,TERMINAL SANTA CANDIDA,19:35
104410,TERMINAL CABRAL,20:00
105910,TERMINAL SANTA CANDIDA,20:25
104410,TERMINAL CABRAL,20:50
105910,TERMINAL SANTA CANDIDA,21:15
104410,TERMINAL CABRAL,21:40
105910,TERMINAL SANTA CANDIDA,22:05
104410,TERMINAL CABRAL,22:30
105910,TERMINAL SANTA CANDIDA,22:55
104410,TERMINAL CABRAL,23:20
105910,TERMINAL SANTA CANDIDA,23:45
104410,TERMINAL CABRAL,00:05
105910,TERMINAL SANTA CANDIDA,00:25
