Linha,666
Tabela,001
num,ponto,horario
150651,BAIRRO NOVO MUNDO,05:55
102001,PRACA RUI BARBOSA,06:27
150651,BAIRRO NOVO MUNDO,06:57
102001,PRACA RUI BARBOSA,07:39
150651,BAIRRO NOVO MUNDO,08:11
102001,PRACA RUI BARBOSA,08:53
150651,BAIRRO NOVO MUNDO,09:26
102001,PRACA RUI BARBOSA,10:02
150651,BAIRRO NOVO MUNDO,10:35
102001,PRACA RUI BARBOSA,11:11
150651,BAIRRO NOVO MUNDO,11:45
102001,PRACA RUI BARBOSA,12:22
150651,BAIRRO NOVO MUNDO,12:56
102001,PRACA RUI BARBOSA,13:32
150651,BAIRRO NOVO MUNDO,14:06
102001,PRACA RUI BARBOSA,14:43
150651,BAIRRO NOVO MUNDO,15:16
102001,PRACA RUI BARBOSA,15:53
150651,BAIRRO NOVO MUNDO,16:26
102001,PRACA RUI BARBOSA,17:02
150651,BAIRRO NOVO MUNDO,17:40
102001,PRACA RUI BARBOSA,18:17
150651,BAIRRO NOVO MUNDO,18:54
102001,PRACA RUI BARBOSA,19:30
150651,BAIRRO NOVO MUNDO,20:01
102001,PRACA RUI BARBOSA,20:32
150651,BAIRRO NOVO MUNDO,21:01
102001,PRACA RUI BARBOSA,21:30
150651,BAIRRO NOVO MUNDO,22:02
102001,PRACA RUI BARBOSA,22:34
150651,BAIRRO NOVO MUNDO,23:02
102001,PRACA RUI BARBOSA,23:30
