Linha,541
Tabela,003-2
num,ponto,horario
106103,TERMINAL SITIO CERCADO,16:13
160115,BAIRRO NOVO A,16:28
106103,TERMINAL SITIO CERCADO,16:47
160115,BAIRRO NOVO A,17:02
106103,TERMINAL SITIO CERCADO,17:17
160115,BAIRRO NOVO A,17:32
106103,TERMINAL SITIO CERCADO,17:47
160115,BAIRRO NOVO A,18:02
106103,TERMINAL SITIO CERCADO,18:17
160115,BAIRRO NOVO A,18:32
106103,TERMINAL SITIO CERCADO,18:47
160115,BAIRRO NOVO A,19:02
106103,TERMINAL SITIO CERCADO,19:17
160115,BAIRRO NOVO A,19:32
106103,TERMINAL SITIO CERCADO,19:47
160115,BAIRRO NOVO A,20:02
