Linha,603
Tabela,012
num,ponto,horario
105701,TERMINAL PINHEIRINHO,06:20
108216,PRACA RUI BARBOSA,06:56
105701,TERMINAL PINHEIRINHO,07:32
108216,PRACA RUI BARBOSA,08:08
105701,TERMINAL PINHEIRINHO,08:47
108216,PRACA RUI BARBOSA,09:25
105701,TERMINAL PINHEIRINHO,10:03
108216,PRACA RUI BARBOSA,10:41
105701,TERMINAL PINHEIRINHO,11:19
108216,PRACA RUI BARBOSA,11:57
105701,TERMINAL PINHEIRINHO,12:35
108216,PRACA RUI BARBOSA,13:13
105701,TERMINAL PINHEIRINHO,13:51
108216,PRACA RUI BARBOSA,14:29
105701,TERMINAL PINHEIRINHO,15:10
108216,PRACA RUI BARBOSA,15:48
105701,TERMINAL PINHEIRINHO,16:30
108216,PRACA RUI BARBOSA,17:09
105701,TERMINAL PINHEIRINHO,17:53
108216,PRACA RUI BARBOSA,18:31
105701,TERMINAL PINHEIRINHO,19:17
108216,PRACA RUI BARBOSA,19:54
105701,TERMINAL PINHEIRINHO,20:32
108216,PRACA RUI BARBOSA,21:09
105701,TERMINAL PINHEIRINHO,21:47
108216,PRACA RUI BARBOSA,22:24
105701,TERMINAL PINHEIRINHO,23:02
108216,PRACA RUI BARBOSA,23:40
