Linha,603
Tabela,007
num,ponto,horario
105701,TERMINAL PINHEIRINHO,05:39
108216,PRACA RUI BARBOSA,06:16
105701,TERMINAL PINHEIRINHO,06:51
108216,PRACA RUI BARBOSA,07:28
105701,TERMINAL PINHEIRINHO,08:03
108216,PRACA RUI BARBOSA,08:42
105701,TERMINAL PINHEIRINHO,09:20
108216,PRACA RUI BARBOSA,09:57
105701,TERMINAL PINHEIRINHO,10:35
108216,PRACA RUI BARBOSA,11:12
105701,TERMINAL PINHEIRINHO,11:50
108216,PRACA RUI BARBOSA,12:27
105701,TERMINAL PINHEIRINHO,13:05
108216,PRACA RUI BARBOSA,13:42
105701,TERMINAL PINHEIRINHO,14:20
108216,PRACA RUI BARBOSA,14:57
105701,TERMINAL PINHEIRINHO,15:38
108216,PRACA RUI BARBOSA,16:15
105701,TERMINAL PINHEIRINHO,16:56
108216,PRACA RUI BARBOSA,17:33
105701,TERMINAL PINHEIRINHO,18:14
108216,PRACA RUI BARBOSA,18:51
