Linha,711
Tabela,003-2
num,ponto,horario
105305,TERMINAL FAZENDINHA,16:51
180500,BAIRRO ITATIAIA,17:12
105305,TERMINAL FAZENDINHA,17:30
180500,BAIRRO ITATIAIA,17:51
105305,TERMINAL FAZENDINHA,18:09
180500,BAIRRO ITATIAIA,18:30
105305,TERMINAL FAZENDINHA,18:48
180500,BAIRRO ITATIAIA,19:09
105305,TERMINAL FAZENDINHA,19:27
180500,BAIRRO ITATIAIA,19:47
105305,TERMINAL FAZENDINHA,20:05
180500,BAIRRO ITATIAIA,20:22
105305,TERMINAL FAZENDINHA,20:39
180500,BAIRRO ITATIAIA,20:55
105305,TERMINAL FAZENDINHA,21:12
180500,BAIRRO ITATIAIA,21:28
105305,TERMINAL FAZENDINHA,21:45
180500,BAIRRO ITATIAIA,22:01
105305,TERMINAL FAZENDINHA,22:17
180500,BAIRRO ITATIAIA,22:33
105305,TERMINAL FAZENDINHA,22:49
180500,BAIRRO ITATIAIA,23:05
105305,TERMINAL FAZENDINHA,23:21
180500,BAIRRO ITATIAIA,23:37
105305,TERMINAL FAZENDINHA,23:53
180500,BAIRRO ITATIAIA,00:09
105305,TERMINAL FAZENDINHA,00:25
