Linha,023
Tabela,008-1
num,ponto,horario
109093,TERMINAL CAPAO RASO,05:44
109109,TERMINAL HAUER,06:01
109117,TERMINAL CAPAO DA IMBUIA,06:19
109083,TERMINAL CABRAL,06:42
109167,TERMINAL CAMPINA DO SIQUEIRA,07:07
109089,TERMINAL PORTAO,07:22
109093,TERMINAL CAPAO RASO,07:27
109109,TERMINAL HAUER,07:44
109117,TERMINAL CAPAO DA IMBUIA,08:02
109083,TERMINAL CABRAL,08:24
109167,TERMINAL CAMPINA DO SIQUEIRA,08:49
109089,TERMINAL PORTAO,09:04
109093,TERMINAL CAPAO RASO,09:09
109109,TERMINAL HAUER,09:26
109117,TERMINAL CAPAO DA IMBUIA,09:44
109083,TERMINAL CABRAL,10:06
109167,TERMINAL CAMPINA DO SIQUEIRA,10:31
109089,TERMINAL PORTAO,10:46
