Linha,023
Tabela,008-2
num,ponto,horario
109093,TERMINAL CAPAO RASO,15:57
109109,TERMINAL HAUER,16:14
109117,TERMINAL CAPAO DA IMBUIA,16:32
109083,TERMINAL CABRAL,16:54
109167,TERMINAL CAMPINA DO SIQUEIRA,17:19
109089,TERMINAL PORTAO,17:34
109093,TERMINAL CAPAO RASO,17:39
109109,TERMINAL HAUER,17:56
109117,TERMINAL CAPAO DA IMBUIA,18:14
109083,TERMINAL CABRAL,18:36
109167,TERMINAL CAMPINA DO SIQUEIRA,19:01
109089,TERMINAL PORTAO,19:16
109093,TERMINAL CAPAO RASO,19:21
109109,TERMINAL HAUER,19:38
109117,TERMINAL CAPAO DA IMBUIA,19:56
109083,TERMINAL CABRAL,20:18
109167,TERMINAL CAMPINA DO SIQUEIRA,20:43
109089,TERMINAL PORTAO,20:58
