Linha,023
Tabela,007-1
num,ponto,horario
109109,TERMINAL HAUER,06:19
109117,TERMINAL CAPAO DA IMBUIA,06:37
109083,TERMINAL CABRAL,06:59
109167,TERMINAL CAMPINA DO SIQUEIRA,07:24
109089,TERMINAL PORTAO,07:39
109093,TERMINAL CAPAO RASO,07:44
109109,TERMINAL HAUER,08:01
109117,TERMINAL CAPAO DA IMBUIA,08:19
109083,TERMINAL CABRAL,08:41
109167,TERMINAL CAMPINA DO SIQUEIRA,09:06
109089,TERMINAL PORTAO,09:21
109093,TERMINAL CAPAO RASO,09:26
109109,TERMINAL HAUER,09:43
109117,TERMINAL CAPAO DA IMBUIA,10:01
109083,TERMINAL CABRAL,10:23
109167,TERMINAL CAMPINA DO SIQUEIRA,10:48
109089,TERMINAL PORTAO,11:03
109093,TERMINAL CAPAO RASO,11:08
