Linha,772
Tabela,001-2
num,ponto,horario
105914,TERMINAL PINHEIRINHO,16:45
631033,CATRACA (SENTIDO BAIRRO),17:15
631008,BAIRRO TUPY,17:34
631030,CATRACA (SENTIDO TERMINAL),17:43
105914,TERMINAL PINHEIRINHO,18:33
631033,CATRACA (SENTIDO BAIRRO),19:06
631008,BAIRRO TUPY,19:26
631030,CATRACA (SENTIDO TERMINAL),19:34
105914,TERMINAL PINHEIRINHO,20:09
631033,CATRACA (SENTIDO BAIRRO),20:36
631008,BAIRRO TUPY,20:48
631030,CATRACA (SENTIDO TERMINAL),20:56
105914,TERMINAL PINHEIRINHO,21:31
631033,CATRACA (SENTIDO BAIRRO),21:58
631008,BAIRRO TUPY,22:10
631030,CATRACA (SENTIDO TERMINAL),22:18
105914,TERMINAL PINHEIRINHO,22:53
631033,CATRACA (SENTIDO BAIRRO),23:20
631008,BAIRRO TUPY,23:32
631030,CATRACA (SENTIDO TERMINAL),23:40
105914,TERMINAL PINHEIRINHO,00:15
631033,CATRACA (SENTIDO BAIRRO),00:38
