Linha,231
Tabela,2-2
num,ponto,horario
105906,TERM.STA.CANDIDA/BANESTADO,16:00
350042,BAIRRO BANESTADO,16:11
105909,TERM.STA.CANDIDA/CALIFORNIA,16:30
130585,BAIRRO CALIFORNIA,16:36
105906,TERM.STA.CANDIDA/BANESTADO,16:42
350042,BAIRRO BANESTADO,16:54
105909,TERM.STA.CANDIDA/CALIFORNIA,17:14
130585,BAIRRO CALIFORNIA,17:20
105906,TERM.STA.CANDIDA/BANESTADO,17:30
350042,BAIRRO BANESTADO,17:44
105909,TERM.STA.CANDIDA/CALIFORNIA,18:02
130585,BAIRRO CALIFORNIA,18:08
105906,TERM.STA.CANDIDA/BANESTADO,18:18
350042,BAIRRO BANESTADO,18:34
105909,TERM.STA.CANDIDA/CALIFORNIA,18:52
130585,BAIRRO CALIFORNIA,18:58
105906,TERM.STA.CANDIDA/BANESTADO,19:07
350042,BAIRRO BANESTADO,19:23
105909,TERM.STA.CANDIDA/CALIFORNIA,19:42
130585,BAIRRO CALIFORNIA,19:48
105906,TERM.STA.CANDIDA/BANESTADO,19:55
350042,BAIRRO BANESTADO,20:06
105909,TERM.STA.CANDIDA/CALIFORNIA,20:22
130585,BAIRRO CALIFORNIA,20:28
105906,TERM.STA.CANDIDA/BANESTADO,20:35
350042,BAIRRO BANESTADO,20:46
105909,TERM.STA.CANDIDA/CALIFORNIA,21:02
130585,BAIRRO CALIFORNIA,21:08
105906,TERM.STA.CANDIDA/BANESTADO,21:15
350042,BAIRRO BANESTADO,21:26
105909,TERM.STA.CANDIDA/CALIFORNIA,21:42
130585,BAIRRO CALIFORNIA,21:48
105906,TERM.STA.CANDIDA/BANESTADO,21:55
350042,BAIRRO BANESTADO,22:06
105909,TERM.STA.CANDIDA/CALIFORNIA,22:22
130585,BAIRRO CALIFORNIA,22:28
105906,TERM.STA.CANDIDA/BANESTADO,22:35
350042,BAIRRO BANESTADO,22:46
105909,TERM.STA.CANDIDA/CALIFORNIA,23:02
130585,BAIRRO CALIFORNIA,23:08
105906,TERM.STA.CANDIDA/BANESTADO,23:14
350042,BAIRRO BANESTADO,23:25
105909,TERM.STA.CANDIDA/CALIFORNIA,23:40
130585,BAIRRO CALIFORNIA,23:46
105906,TERM.STA.CANDIDA/BANESTADO,23:52
350042,BAIRRO BANESTADO,00:02
105909,TERM.STA.CANDIDA/CALIFORNIA,00:16
130585,BAIRRO CALIFORNIA,00:22
105906,TERM.STA.CANDIDA/BANESTADO,00:28
350042,BAIRRO BANESTADO,00:37
