Linha,812
Tabela,002-2
num,ponto,horario
190069,BAIRRO MONTANA,16:26
104508,TERMINAL CAMPINA DO SIQUEIRA,17:02
190069,BAIRRO MONTANA,17:32
104508,TERMINAL CAMPINA DO SIQUEIRA,18:10
190069,BAIRRO MONTANA,18:40
104508,TERMINAL CAMPINA DO SIQUEIRA,19:15
190069,BAIRRO MONTANA,19:50
104508,TERMINAL CAMPINA DO SIQUEIRA,20:16
190069,BAIRRO MONTANA,20:40
104508,TERMINAL CAMPINA DO SIQUEIRA,21:06
190069,BAIRRO MONTANA,21:30
104508,TERMINAL CAMPINA DO SIQUEIRA,21:56
190069,BAIRRO MONTANA,22:20
104508,TERMINAL CAMPINA DO SIQUEIRA,22:46
190069,BAIRRO MONTANA,23:10
104508,TERMINAL CAMPINA DO SIQUEIRA,23:36
190069,BAIRRO MONTANA,00:00
104508,TERMINAL CAMPINA DO SIQUEIRA,00:26
