Linha,553
Tabela,4-2
num,ponto,horario
106106,TERMINAL SITIO CERCADO,16:28
160770,MORADIAS PQ. IGUAÇU,16:59
106106,TERMINAL SITIO CERCADO,17:26
160770,MORADIAS PQ. IGUAÇU,17:57
106106,TERMINAL SITIO CERCADO,18:24
160770,MORADIAS PQ. IGUAÇU,18:55
106106,TERMINAL SITIO CERCADO,19:21
160770,MORADIAS PQ. IGUAÇU,19:52
106106,TERMINAL SITIO CERCADO,20:19
160770,MORADIAS PQ. IGUAÇU,20:47
106106,TERMINAL SITIO CERCADO,21:14
160770,MORADIAS PQ. IGUAÇU,21:41
106106,TERMINAL SITIO CERCADO,22:08
160770,MORADIAS PQ. IGUAÇU,22:34
106106,TERMINAL SITIO CERCADO,23:01
160770,MORADIAS PQ. IGUAÇU,23:27
106106,TERMINAL SITIO CERCADO,23:54
