Linha,602
Tabela,002
num,ponto,horario
105703,TERMINAL PINHEIRINHO,05:30
106102,TERMINAL SITIO CERCADO,05:45
104304,TERMINAL BOQUEIRAO,06:01
105503,TERMINAL HAUER,06:12
105802,TERMINAL PORTAO,06:31
105703,TERMINAL PINHEIRINHO,06:47
106102,TERMINAL SITIO CERCADO,07:03
104304,TERMINAL BOQUEIRAO,07:19
105503,TERMINAL HAUER,07:30
105802,TERMINAL PORTAO,07:49
105703,TERMINAL PINHEIRINHO,08:05
106102,TERMINAL SITIO CERCADO,08:21
104304,TERMINAL BOQUEIRAO,08:37
105503,TERMINAL HAUER,08:48
105802,TERMINAL PORTAO,09:07
105703,TERMINAL PINHEIRINHO,09:23
106102,TERMINAL SITIO CERCADO,09:39
104304,TERMINAL BOQUEIRAO,09:55
105503,TERMINAL HAUER,10:06
105802,TERMINAL PORTAO,10:25
105703,TERMINAL PINHEIRINHO,10:41
106102,TERMINAL SITIO CERCADO,10:57
104304,TERMINAL BOQUEIRAO,11:13
105503,TERMINAL HAUER,11:24
105802,TERMINAL PORTAO,11:43
105703,TERMINAL PINHEIRINHO,11:59
106102,TERMINAL SITIO CERCADO,12:15
104304,TERMINAL BOQUEIRAO,12:31
105503,TERMINAL HAUER,12:42
105802,TERMINAL PORTAO,13:01
105703,TERMINAL PINHEIRINHO,13:17
106102,TERMINAL SITIO CERCADO,13:33
104304,TERMINAL BOQUEIRAO,13:49
105503,TERMINAL HAUER,14:00
105802,TERMINAL PORTAO,14:19
105703,TERMINAL PINHEIRINHO,14:35
106102,TERMINAL SITIO CERCADO,14:51
104304,TERMINAL BOQUEIRAO,15:07
105503,TERMINAL HAUER,15:18
105802,TERMINAL PORTAO,15:37
105703,TERMINAL PINHEIRINHO,15:53
106102,TERMINAL SITIO CERCADO,16:09
104304,TERMINAL BOQUEIRAO,16:25
105503,TERMINAL HAUER,16:36
105802,TERMINAL PORTAO,16:55
105703,TERMINAL PINHEIRINHO,17:11
106102,TERMINAL SITIO CERCADO,17:27
104304,TERMINAL BOQUEIRAO,17:43
105503,TERMINAL HAUER,17:54
105802,TERMINAL PORTAO,18:13
105703,TERMINAL PINHEIRINHO,18:29
106102,TERMINAL SITIO CERCADO,18:45
104304,TERMINAL BOQUEIRAO,19:01
105503,TERMINAL HAUER,19:12
105802,TERMINAL PORTAO,19:31
105703,TERMINAL PINHEIRINHO,19:47
106102,TERMINAL SITIO CERCADO,20:03
104304,TERMINAL BOQUEIRAO,20:19
105503,TERMINAL HAUER,20:30
105802,TERMINAL PORTAO,20:49
105703,TERMINAL PINHEIRINHO,21:05
106102,TERMINAL SITIO CERCADO,21:21
104304,TERMINAL BOQUEIRAO,21:37
105503,TERMINAL HAUER,21:48
105802,TERMINAL PORTAO,22:07
105703,TERMINAL PINHEIRINHO,22:23
106102,TERMINAL SITIO CERCADO,22:39
104304,TERMINAL BOQUEIRAO,22:55
105503,TERMINAL HAUER,23:06
105802,TERMINAL PORTAO,23:25
105703,TERMINAL PINHEIRINHO,23:41
106102,TERMINAL SITIO CERCADO,23:57
