Linha,602
Tabela,004
num,ponto,horario
105703,TERMINAL PINHEIRINHO,06:06
106102,TERMINAL SITIO CERCADO,06:24
104304,TERMINAL BOQUEIRAO,06:40
105503,TERMINAL HAUER,06:51
105802,TERMINAL PORTAO,07:10
105703,TERMINAL PINHEIRINHO,07:26
106102,TERMINAL SITIO CERCADO,07:42
104304,TERMINAL BOQUEIRAO,07:58
105503,TERMINAL HAUER,08:09
105802,TERMINAL PORTAO,08:28
105703,TERMINAL PINHEIRINHO,08:44
106102,TERMINAL SITIO CERCADO,09:00
104304,TERMINAL BOQUEIRAO,09:16
105503,TERMINAL HAUER,09:27
105802,TERMINAL PORTAO,09:46
105703,TERMINAL PINHEIRINHO,10:02
106102,TERMINAL SITIO CERCADO,10:18
104304,TERMINAL BOQUEIRAO,10:34
105503,TERMINAL HAUER,10:45
105802,TERMINAL PORTAO,11:04
105703,TERMINAL PINHEIRINHO,11:20
106102,TERMINAL SITIO CERCADO,11:36
104304,TERMINAL BOQUEIRAO,11:52
105503,TERMINAL HAUER,12:03
105802,TERMINAL PORTAO,12:22
105703,TERMINAL PINHEIRINHO,12:38
106102,TERMINAL SITIO CERCADO,12:54
104304,TERMINAL BOQUEIRAO,13:10
105503,TERMINAL HAUER,13:21
105802,TERMINAL PORTAO,13:40
105703,TERMINAL PINHEIRINHO,13:56
106102,TERMINAL SITIO CERCADO,14:12
104304,TERMINAL BOQUEIRAO,14:28
105503,TERMINAL HAUER,14:39
105802,TERMINAL PORTAO,14:58
105703,TERMINAL PINHEIRINHO,15:14
106102,TERMINAL SITIO CERCADO,15:30
104304,TERMINAL BOQUEIRAO,15:46
105503,TERMINAL HAUER,15:57
105802,TERMINAL PORTAO,16:16
105703,TERMINAL PINHEIRINHO,16:32
106102,TERMINAL SITIO CERCADO,16:48
104304,TERMINAL BOQUEIRAO,17:04
105503,TERMINAL HAUER,17:15
105802,TERMINAL PORTAO,17:34
105703,TERMINAL PINHEIRINHO,17:50
106102,TERMINAL SITIO CERCADO,18:06
104304,TERMINAL BOQUEIRAO,18:22
105503,TERMINAL HAUER,18:33
105802,TERMINAL PORTAO,18:52
105703,TERMINAL PINHEIRINHO,19:08
106102,TERMINAL SITIO CERCADO,19:24
104304,TERMINAL BOQUEIRAO,19:40
105503,TERMINAL HAUER,19:51
105802,TERMINAL PORTAO,20:10
105703,TERMINAL PINHEIRINHO,20:26
106102,TERMINAL SITIO CERCADO,20:42
104304,TERMINAL BOQUEIRAO,20:58
105503,TERMINAL HAUER,21:09
105802,TERMINAL PORTAO,21:28
105703,TERMINAL PINHEIRINHO,21:44
106102,TERMINAL SITIO CERCADO,22:00
104304,TERMINAL BOQUEIRAO,22:16
105503,TERMINAL HAUER,22:27
105802,TERMINAL PORTAO,22:46
105703,TERMINAL PINHEIRINHO,23:02
106102,TERMINAL SITIO CERCADO,23:18
104304,TERMINAL BOQUEIRAO,23:34
105503,TERMINAL HAUER,23:45
105802,TERMINAL PORTAO,00:05
105703,TERMINAL PINHEIRINHO,00:21
