Linha,303
Tabela,028-1
num,ponto,horario
104601,TERMINAL CAMPO COMPRIDO,07:03
108169,ESTACAO TUBO R. BARBOSA/LESTE,07:31
105101,TERMINAL CENTENARIO,08:08
108030,ESTACAO TUBO R.BARBOSA/OESTE,08:44
104601,TERMINAL CAMPO COMPRIDO,09:17
108169,ESTACAO TUBO R. BARBOSA/LESTE,09:45
105101,TERMINAL CENTENARIO,10:20
108030,ESTACAO TUBO R.BARBOSA/OESTE,10:54
104601,TERMINAL CAMPO COMPRIDO,11:25
108169,ESTACAO TUBO R. BARBOSA/LESTE,11:53
105101,TERMINAL CENTENARIO,12:28
108030,ESTACAO TUBO R.BARBOSA/OESTE,13:02
