Linha,303
Tabela,028-2
num,ponto,horario
104601,TERMINAL CAMPO COMPRIDO,16:29
108169,ESTACAO TUBO R. BARBOSA/LESTE,16:58
105101,TERMINAL CENTENARIO,17:34
108030,ESTACAO TUBO R.BARBOSA/OESTE,18:09
104601,TERMINAL CAMPO COMPRIDO,18:44
108169,ESTACAO TUBO R. BARBOSA/LESTE,19:13
105101,TERMINAL CENTENARIO,19:46
108030,ESTACAO TUBO R.BARBOSA/OESTE,20:19
104601,TERMINAL CAMPO COMPRIDO,20:51
108169,ESTACAO TUBO R. BARBOSA/LESTE,21:19
105101,TERMINAL CENTENARIO,21:52
108030,ESTACAO TUBO R.BARBOSA/OESTE,22:22
104601,TERMINAL CAMPO COMPRIDO,22:53
108169,ESTACAO TUBO R. BARBOSA/LESTE,23:19
105101,TERMINAL CENTENARIO,23:50
108030,ESTACAO TUBO R.BARBOSA/OESTE,00:18
