Linha,303
Tabela,023-2
num,ponto,horario
108169,ESTACAO TUBO R. BARBOSA/LESTE,16:14
105101,TERMINAL CENTENARIO,16:49
108030,ESTACAO TUBO R.BARBOSA/OESTE,17:24
104601,TERMINAL CAMPO COMPRIDO,17:56
108169,ESTACAO TUBO R. BARBOSA/LESTE,18:26
105101,TERMINAL CENTENARIO,19:02
108030,ESTACAO TUBO R.BARBOSA/OESTE,19:36
104601,TERMINAL CAMPO COMPRIDO,20:04
108169,ESTACAO TUBO R. BARBOSA/LESTE,20:32
105101,TERMINAL CENTENARIO,21:05
108030,ESTACAO TUBO R.BARBOSA/OESTE,21:33
104601,TERMINAL CAMPO COMPRIDO,22:01
108169,ESTACAO TUBO R. BARBOSA/LESTE,22:29
105101,TERMINAL CENTENARIO,23:03
108030,ESTACAO TUBO R.BARBOSA/OESTE,23:32
