Linha,303
Tabela,023
num,ponto,horario
104601,TERMINAL CAMPO COMPRIDO,06:36
108169,ESTACAO TUBO R. BARBOSA/LESTE,07:04
105101,TERMINAL CENTENARIO,07:38
108030,ESTACAO TUBO R.BARBOSA/OESTE,08:14
104601,TERMINAL CAMPO COMPRIDO,08:46
108169,ESTACAO TUBO R. BARBOSA/LESTE,09:16
105101,TERMINAL CENTENARIO,09:52
108030,ESTACAO TUBO R.BARBOSA/OESTE,10:26
104601,TERMINAL CAMPO COMPRIDO,10:57
108169,ESTACAO TUBO R. BARBOSA/LESTE,11:25
105101,TERMINAL CENTENARIO,12:00
108030,ESTACAO TUBO R.BARBOSA/OESTE,12:34
104601,TERMINAL CAMPO COMPRIDO,13:05
108169,ESTACAO TUBO R. BARBOSA/LESTE,13:33
105101,TERMINAL CENTENARIO,14:08
108030,ESTACAO TUBO R.BARBOSA/OESTE,14:42
104601,TERMINAL CAMPO COMPRIDO,15:13
108169,ESTACAO TUBO R. BARBOSA/LESTE,15:41
105101,TERMINAL CENTENARIO,16:20
108030,ESTACAO TUBO R.BARBOSA/OESTE,16:54
104601,TERMINAL CAMPO COMPRIDO,17:31
108169,ESTACAO TUBO R. BARBOSA/LESTE,18:00
105101,TERMINAL CENTENARIO,18:36
108030,ESTACAO TUBO R.BARBOSA/OESTE,19:11
