Linha,303
Tabela,009-2
num,ponto,horario
105101,TERMINAL CENTENARIO,16:15
108030,ESTACAO TUBO R.BARBOSA/OESTE,16:51
104601,TERMINAL CAMPO COMPRIDO,17:26
108169,ESTACAO TUBO R. BARBOSA/LESTE,17:56
105101,TERMINAL CENTENARIO,18:31
108030,ESTACAO TUBO R.BARBOSA/OESTE,19:06
104601,TERMINAL CAMPO COMPRIDO,19:43
108169,ESTACAO TUBO R. BARBOSA/LESTE,20:12
105101,TERMINAL CENTENARIO,20:46
108030,ESTACAO TUBO R.BARBOSA/OESTE,21:16
104601,TERMINAL CAMPO COMPRIDO,21:45
108169,ESTACAO TUBO R. BARBOSA/LESTE,22:13
105101,TERMINAL CENTENARIO,22:46
108030,ESTACAO TUBO R.BARBOSA/OESTE,23:16
104601,TERMINAL CAMPO COMPRIDO,23:45
108169,ESTACAO TUBO R. BARBOSA/LESTE,00:10
