Linha,303
Tabela,012-2
num,ponto,horario
108030,ESTACAO TUBO R.BARBOSA/OESTE,16:21
104601,TERMINAL CAMPO COMPRIDO,16:56
108169,ESTACAO TUBO R. BARBOSA/LESTE,17:26
105101,TERMINAL CENTENARIO,18:01
108030,ESTACAO TUBO R.BARBOSA/OESTE,18:36
104601,TERMINAL CAMPO COMPRIDO,19:15
108169,ESTACAO TUBO R. BARBOSA/LESTE,19:44
105101,TERMINAL CENTENARIO,20:22
108030,ESTACAO TUBO R.BARBOSA/OESTE,20:52
104601,TERMINAL CAMPO COMPRIDO,21:21
108169,ESTACAO TUBO R. BARBOSA/LESTE,21:49
105101,TERMINAL CENTENARIO,22:22
108030,ESTACAO TUBO R.BARBOSA/OESTE,22:52
104601,TERMINAL CAMPO COMPRIDO,23:22
108169,ESTACAO TUBO R. BARBOSA/LESTE,23:47
