Linha,535
Tabela,003-2
num,ponto,horario
104310,TERMINAL BOQUEIRAO,17:26
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),17:52
104310,TERMINAL BOQUEIRAO,18:20
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),18:48
104310,TERMINAL BOQUEIRAO,19:14
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),19:37
104310,TERMINAL BOQUEIRAO,20:02
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),20:26
104310,TERMINAL BOQUEIRAO,20:51
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),21:15
104310,TERMINAL BOQUEIRAO,21:40
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),22:04
104310,TERMINAL BOQUEIRAO,22:29
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),22:53
104310,TERMINAL BOQUEIRAO,23:18
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),23:42
104310,TERMINAL BOQUEIRAO,00:06
