Linha,650
Tabela,003
num,ponto,horario
171065,TERMINAL TATUQUARA,05:25
105739,TERMINAL PINHEIRINHO,06:04
171065,TERMINAL TATUQUARA,06:40
105739,TERMINAL PINHEIRINHO,07:43
171065,TERMINAL TATUQUARA,08:17
105739,TERMINAL PINHEIRINHO,08:59
171065,TERMINAL TATUQUARA,09:33
105739,TERMINAL PINHEIRINHO,10:14
171065,TERMINAL TATUQUARA,10:49
105739,TERMINAL PINHEIRINHO,11:30
171065,TERMINAL TATUQUARA,12:06
105739,TERMINAL PINHEIRINHO,12:50
171065,TERMINAL TATUQUARA,13:26
105739,TERMINAL PINHEIRINHO,14:10
171065,TERMINAL TATUQUARA,14:46
105739,TERMINAL PINHEIRINHO,15:30
171065,TERMINAL TATUQUARA,16:06
105739,TERMINAL PINHEIRINHO,16:57
171065,TERMINAL TATUQUARA,17:38
105739,TERMINAL PINHEIRINHO,18:23
171065,TERMINAL TATUQUARA,19:03
105739,TERMINAL PINHEIRINHO,19:44
