Linha,607
Tabela,009
num,ponto,horario
109100,TERMINAL CIC,05:42
109051,TUBO TIRADENTES,06:19
350808,TERMINAL MARACANA,06:50
109063,PRACA RUI BARBOSA,07:36
109100,TERMINAL CIC,08:10
109051,TUBO TIRADENTES,08:55
350808,TERMINAL MARACANA,09:30
109063,PRACA RUI BARBOSA,10:13
109100,TERMINAL CIC,10:47
109051,TUBO TIRADENTES,11:27
350808,TERMINAL MARACANA,12:02
109063,PRACA RUI BARBOSA,12:43
109100,TERMINAL CIC,13:19
109051,TUBO TIRADENTES,13:59
350808,TERMINAL MARACANA,14:34
109063,PRACA RUI BARBOSA,15:16
109100,TERMINAL CIC,15:53
109051,TUBO TIRADENTES,16:36
350808,TERMINAL MARACANA,17:14
109063,PRACA RUI BARBOSA,17:57
109100,TERMINAL CIC,18:39
109051,TUBO TIRADENTES,19:19
