Linha,373
Tabela,001
num,ponto,horario
104010,TERMINAL BAIRRO ALTO,05:57
103205,PRACA CARLOS GOMES,06:25
104010,TERMINAL BAIRRO ALTO,06:57
103205,PRACA CARLOS GOMES,07:31
104010,TERMINAL BAIRRO ALTO,08:03
103205,PRACA CARLOS GOMES,08:39
104010,TERMINAL BAIRRO ALTO,09:13
103205,PRACA CARLOS GOMES,09:48
104010,TERMINAL BAIRRO ALTO,10:23
103205,PRACA CARLOS GOMES,10:58
104010,TERMINAL BAIRRO ALTO,11:33
103205,PRACA CARLOS GOMES,12:08
104010,TERMINAL BAIRRO ALTO,12:43
103205,PRACA CARLOS GOMES,13:13
104010,TERMINAL BAIRRO ALTO,13:52
103205,PRACA CARLOS GOMES,14:23
104010,TERMINAL BAIRRO ALTO,15:02
103205,PRACA CARLOS GOMES,15:33
104010,TERMINAL BAIRRO ALTO,16:12
103205,PRACA CARLOS GOMES,16:43
104010,TERMINAL BAIRRO ALTO,17:22
103205,PRACA CARLOS GOMES,17:53
104010,TERMINAL BAIRRO ALTO,18:28
103205,PRACA CARLOS GOMES,19:03
104010,TERMINAL BAIRRO ALTO,19:28
103205,PRACA CARLOS GOMES,19:55
104010,TERMINAL BAIRRO ALTO,20:18
103205,PRACA CARLOS GOMES,20:40
104010,TERMINAL BAIRRO ALTO,21:18
103205,PRACA CARLOS GOMES,21:40
104010,TERMINAL BAIRRO ALTO,22:18
103205,PRACA CARLOS GOMES,22:40
104010,TERMINAL BAIRRO ALTO,23:13
103205,PRACA CARLOS GOMES,23:40
